"ID","NAME","ACTORS","DIRECTOR","CONTENT"
"1","Mulan","Taraji P. Henson","Guillermo del Toro","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"2","Parasite","Johnny Depp/Tom Holland/Harrison Ford/Will Smith/Viola Davis","Lee Daniels","Parasite is a must-watch for fans of fantasy."
"3","Schindler's List","Robert Downey Jr./Heath Ledger/Lupita Nyong'o/Emma Watson","Zhang Yimou","Schindler's List is a must-watch for fans of romance."
"4","The Lego Movie","Lupita Nyong'o/Yara Shahidi/Anne Hathaway/Viola Davis/Brad Pitt","Steven Spielberg","Directed by Steven Spielberg, The Lego Movie delivers stunning visuals and emotional depth."
"5","Brother Bear","Taraji P. Henson/Johnny Depp/Emma Watson/Regina King","David Fincher","In Brother Bear, Samuel L. Jackson stars as a hero on a mission to overcome personal demons."
"6","Treasure Planet","H.E.R./Danielle Brooks","Quentin Tarantino","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"7","Black Panther","Tom Holland/Regina King/Colman Domingo/Taraji P. Henson","Kim Ki-duk","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"8","Brave","Angela Bassett/Meryl Streep/Emma Watson/Kate Winslet","Zhang Yimou","The film explores themes of identity through the eyes of Jada Pinkett Smith."
"9","Meet the Robinsons","Colman Domingo","Shonda Rhimes","In Meet the Robinsons, Anne Hathaway stars as a hero on a mission to uncover ancient secrets."
"10","The Shawshank Redemption","Brad Pitt/Ryan Gosling/H.E.R./Denzel Washington/Christian Bale","Ava DuVernay","In The Shawshank Redemption, Anne Hathaway stars as a hero on a mission to battle evil forces."
"11","Moana","Jada Pinkett Smith/Zendaya/Kelly Rowland/Yara Shahidi/Timothée Chalamet","David Fincher","In Moana, Chris Evans stars as a hero on a mission to battle evil forces."
"12","Inception","Chris Evans/Issa Rae","Shaft","In Inception, Tom Holland stars as a hero on a mission to forge unlikely alliances."
"13","Inception","Ciara","Christopher Nolan","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"14","Star Wars","Robert Pattinson/Viola Davis/Lupita Nyong'o","Guillermo del Toro","The film explores themes of identity through the eyes of Issa Rae."
"15","Goodfellas","Tom Holland/Regina King/Amy Adams/Issa Rae","Alfonso Cuarón","Goodfellas is a must-watch for fans of romance."
"16","The Silence of the Lambs","Taraji P. Henson/Halle Berry/Margot Robbie/Margot Robbie/Tom Holland","Ryan Coogler","Directed by Ryan Coogler, The Silence of the Lambs delivers stunning visuals and emotional depth."
"17","Finding Nemo","Brandy Norwood/Angela Bassett","Francis Ford Coppola","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"18","Inception","Samuel L. Jackson/Jada Pinkett Smith/Heath Ledger/Brandy Norwood/Fantasia Barrino","Spike Lee","The film explores themes of love through the eyes of Danielle Brooks."
"19","Bolt","Will Smith/Lupita Nyong'o","Makoto Shinkai","Directed by Makoto Shinkai, Bolt delivers stunning visuals and emotional depth."
"20","Frozen","Aaliyah","John Singleton","Directed by John Singleton, Frozen delivers stunning visuals and emotional depth."
"21","Frozen","Tracee Ellis Ross/Taraji P. Henson/Chris Hemsworth/Morgan Freeman/Leonardo DiCaprio","Hayao Miyazaki","In Frozen, Yara Shahidi stars as a hero on a mission to battle evil forces."
"22","Moana","Tom Hanks/Taraji P. Henson/Anne Hathaway","Tim Burton","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"23","The Princess and the Frog","Morgan Freeman/Tracee Ellis Ross/Zendaya/Timothée Chalamet/Scarlett Johansson","Peter Jackson","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"24","Monsters Inc.","Timothée Chalamet/Jada Pinkett Smith/Viola Davis","Christopher Nolan","In Monsters Inc., Meryl Streep stars as a hero on a mission to uncover ancient secrets."
"25","Monsters Inc.","Jessica Chastain/Heath Ledger/Leonardo DiCaprio/Ciara","Taika Waititi","In Monsters Inc., Kelly Rowland stars as a hero on a mission to forge unlikely alliances."
"26","The Shawshank Redemption","Jessica Chastain/Regina King","Ryan Murphy","The film explores themes of love through the eyes of Ciara."
"27","Trolls","Brad Pitt/H.E.R./Emma Watson/Heath Ledger","Lars von Trier","In Trolls, Octavia Spencer stars as a hero on a mission to uncover ancient secrets."
"28","Ice Age","Tracee Ellis Ross/Zendaya/Amy Adams","Ari Aster","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"29","Spirited Away","Issa Rae/Morgan Freeman/Robert Pattinson/Samuel L. Jackson/Tom Hanks","Gaspar Noé","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"30","Lilo & Stitch","Robert Pattinson/Christian Bale","Park Chan-wook","In Lilo & Stitch, Chris Hemsworth stars as a hero on a mission to uncover ancient secrets."
"31","The Avengers","Johnny Depp","Lars von Trier","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"32","Black Panther","Robert Pattinson/Halle Berry","Guillermo del Toro","Black Panther is a must-watch for fans of sci-fi."
"33","Brother Bear","Angela Bassett/Timothée Chalamet/Issa Rae/Angela Bassett/Toni Braxton","David Fincher","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"34","Big Hero 6","Brandy Norwood/Ayo Edebiri/Margot Robbie/Taraji P. Henson","Shonda Rhimes","Big Hero 6 is a must-watch for fans of romance."
"35","Moana","Harrison Ford/Ryan Gosling/Johnny Depp/Octavia Spencer/Samuel L. Jackson","Lars von Trier","Moana is a must-watch for fans of comedy."
"36","Toy Story","Johnny Depp/Taraji P. Henson/Chris Evans/Kate Winslet/Morgan Freeman","Makoto Shinkai","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"37","Forrest Gump","H.E.R./Tom Holland","Ari Aster","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"38","Ratatouille","Anne Hathaway/Robert Pattinson/Timothée Chalamet","Shyamalan","The film explores themes of identity through the eyes of Harrison Ford."
"39","How to Train Your Dragon","Chris Hemsworth","Taika Waititi","In How to Train Your Dragon, Octavia Spencer stars as a hero on a mission to uncover ancient secrets."
"40","Hercules","Christian Bale","Satoshi Kon","The film explores themes of courage through the eyes of Tracee Ellis Ross."
"41","Cinderella","Meryl Streep/Taraji P. Henson/Samuel L. Jackson/Denzel Washington/Ryan Gosling","David Fincher","Cinderella is a must-watch for fans of romance."
"42","Frozen II","Timothée Chalamet/Denzel Washington/Florence Pugh/Christian Bale/Margot Robbie","Guillermo del Toro","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"43","Harry Potter and the Sorcerer's Stone","Daniel Radcliffe/Ayo Edebiri","Mamoru Hosoda","The film explores themes of friendship through the eyes of Jada Pinkett Smith."
"44","Sleeping Beauty","Colman Domingo/Taraji P. Henson/Brandy Norwood","Tyler Perry","The film explores themes of redemption through the eyes of Ciara."
"45","Sing","Kelly Rowland","David Fincher","Sing is a must-watch for fans of romance."
"46","Atlantis: The Lost Empire","Scarlett Johansson/Ryan Gosling/Taraji P. Henson/Ayo Edebiri/Kate Winslet","John Singleton","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"47","Bolt","Angela Bassett/Viola Davis/Zendaya/Jada Pinkett Smith","Shyamalan","Directed by Shyamalan, Bolt delivers stunning visuals and emotional depth."
"48","Atlantis: The Lost Empire","Chris Evans/Chris Evans/Amy Adams","Kim Ki-duk","The film explores themes of redemption through the eyes of Taraji P. Henson."
"49","The Green Mile","H.E.R.","Quentin Tarantino","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"50","Tangled","Tracee Ellis Ross/Johnny Depp/Johnny Depp/Amy Adams/Brandy Norwood","Ryan Murphy","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"51","Goodfellas","Leonardo DiCaprio/Robert Downey Jr./Will Smith/Christian Bale/Florence Pugh","Quentin Tarantino","Goodfellas is a must-watch for fans of fantasy."
"52","Sing","Tom Holland","Steven Spielberg","The film explores themes of courage through the eyes of Fantasia Barrino."
"53","Coco","Daniel Radcliffe","Martin Scorsese","In Coco, Zendaya stars as a hero on a mission to overcome personal demons."
"54","Wreck-It Ralph","Meryl Streep","Ryan Coogler","Wreck-It Ralph is a must-watch for fans of horror."
"55","The Princess and the Frog","Taraji P. Henson/Angela Bassett/Amy Adams","Shonda Rhimes","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"56","Toy Story 3","Toni Braxton/Robert Downey Jr./Regina King/Anne Hathaway/Anne Hathaway","Quentin Tarantino","In Toy Story 3, Margot Robbie stars as a hero on a mission to uncover ancient secrets."
"57","The Lord of the Rings","Danielle Brooks/Fantasia Barrino/Emma Watson/Morgan Freeman/Robert Pattinson","Guillermo del Toro","The film explores themes of love through the eyes of Zendaya."
"58","Despicable Me","Taraji P. Henson/Lupita Nyong'o","Tim Burton","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"59","Chicken Little","Issa Rae/Lupita Nyong'o/Yara Shahidi","Hayao Miyazaki","Directed by Hayao Miyazaki, Chicken Little delivers stunning visuals and emotional depth."
"60","The Lord of the Rings","Jada Pinkett Smith/Kate Winslet/Octavia Spencer","Alfonso Cuarón","The Lord of the Rings is a must-watch for fans of fantasy."
"61","Ice Age","Ciara/Timothée Chalamet/Danielle Brooks/Colman Domingo","Park Chan-wook","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"62","Pocahontas","Brandy Norwood/Angela Bassett","Isao Takahata","Directed by Isao Takahata, Pocahontas delivers stunning visuals and emotional depth."
"63","Shrek","Ayo Edebiri/Tracee Ellis Ross/Halle Berry","Isao Takahata","Shrek is a must-watch for fans of fantasy."
"64","Frozen","Colman Domingo/Christian Bale/Leonardo DiCaprio/Tracee Ellis Ross/Taraji P. Henson","Kim Ki-duk","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"65","Star Wars","Brandy Norwood","Satoshi Kon","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"66","Aladdin","Aaliyah","Shonda Rhimes","Aladdin is a must-watch for fans of romance."
"67","Treasure Planet","Kelly Rowland/Regina King/Regina King/Chris Evans","Wong Kar-wai","Treasure Planet is a must-watch for fans of comedy."
"68","The Green Mile","Jessica Chastain/Robert Downey Jr./Margot Robbie","Quentin Tarantino","The film explores themes of friendship through the eyes of Tracee Ellis Ross."
"69","Despicable Me","Kelly Rowland/Heath Ledger/Emma Watson/Kate Winslet/Will Smith","Ari Aster","Directed by Ari Aster, Despicable Me delivers stunning visuals and emotional depth."
"70","The Incredibles","Regina King/Ryan Gosling/Fantasia Barrino","Greta Gerwig","The film explores themes of friendship through the eyes of Brad Pitt."
"71","The Green Mile","Tom Hanks/Tom Holland","Issa Rae","The Green Mile is a must-watch for fans of fantasy."
"72","The Lord of the Rings","Angela Bassett","Hiroyuki Imaishi","The film explores themes of love through the eyes of Tom Holland."
"73","Toy Story","Taraji P. Henson/Leonardo DiCaprio/Harrison Ford/Ryan Gosling","Shaft","Toy Story is a must-watch for fans of sci-fi."
"74","The Silence of the Lambs","Kelly Rowland/Jessica Chastain/Christian Bale","Spike Lee","In The Silence of the Lambs, Toni Braxton stars as a hero on a mission to sacrifice everything."
"75","Frozen II","Taraji P. Henson/Florence Pugh/Robert Pattinson","Greta Gerwig","The film explores themes of courage through the eyes of Daniel Radcliffe."
"76","Finding Dory","Viola Davis","Greta Gerwig","The film explores themes of identity through the eyes of Daniel Radcliffe."
"77","The Shawshank Redemption","Heath Ledger/Tracee Ellis Ross/Morgan Freeman","Tyler Perry","In The Shawshank Redemption, Tom Hanks stars as a hero on a mission to sacrifice everything."
"78","Toy Story 3","Amy Adams/Zendaya","Greta Gerwig","Directed by Greta Gerwig, Toy Story 3 delivers stunning visuals and emotional depth."
"79","Fight Club","Emma Watson/Daniel Radcliffe/Christian Bale/Chris Evans","Ava DuVernay","In Fight Club, Jessica Chastain stars as a hero on a mission to forge unlikely alliances."
"80","Madagascar","Toni Braxton/Morgan Freeman/Will Smith","Satoshi Kon","Directed by Satoshi Kon, Madagascar delivers stunning visuals and emotional depth."
"81","Despicable Me","Scarlett Johansson/Timothée Chalamet","Steven Spielberg","The film explores themes of love through the eyes of Margot Robbie."
"82","Brave","Octavia Spencer","Tyler Perry","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"83","Chicken Little","Colman Domingo/Aaliyah/Kate Winslet/Chris Evans","Lee Daniels","Directed by Lee Daniels, Chicken Little delivers stunning visuals and emotional depth."
"84","Frozen","Margot Robbie/Fantasia Barrino","Taika Waititi","Frozen is a must-watch for fans of fantasy."
"85","Big Hero 6","Ryan Gosling","Park Chan-wook","Directed by Park Chan-wook, Big Hero 6 delivers stunning visuals and emotional depth."
"86","Harry Potter and the Sorcerer's Stone","Chris Hemsworth/Tracee Ellis Ross/Heath Ledger/Leonardo DiCaprio/Anne Hathaway","Tyler Perry","The film explores themes of courage through the eyes of Aaliyah."
"87","Moana","Meryl Streep","Lee Daniels","The film explores themes of love through the eyes of Halle Berry."
"88","Wreck-It Ralph","Tom Holland","Ridley Scott","In Wreck-It Ralph, Scarlett Johansson stars as a hero on a mission to overcome personal demons."
"89","The Princess and the Frog","Anne Hathaway/Tracee Ellis Ross/Samuel L. Jackson/Meryl Streep","Greta Gerwig","Directed by Greta Gerwig, The Princess and the Frog delivers stunning visuals and emotional depth."
"90","Beauty and the Beast","Margot Robbie/Anne Hathaway/Scarlett Johansson","Greta Gerwig","In Beauty and the Beast, Robert Downey Jr. stars as a hero on a mission to overcome personal demons."
"91","The Secret Life of Pets","Tom Hanks","Park Chan-wook","In The Secret Life of Pets, Amy Adams stars as a hero on a mission to uncover ancient secrets."
"92","Ratatouille","Regina King/Scarlett Johansson/Taraji P. Henson/Kate Winslet","Hayao Miyazaki","The film explores themes of love through the eyes of Tom Holland."
"93","Kung Fu Panda","Robert Downey Jr./Robert Pattinson/Harrison Ford","Wes Anderson","Kung Fu Panda is a must-watch for fans of fantasy."
"94","Home on the Range","Regina King/Chris Hemsworth/Yara Shahidi","Kim Ki-duk","Directed by Kim Ki-duk, Home on the Range delivers stunning visuals and emotional depth."
"95","Cars","Robert Pattinson/Ryan Gosling/Florence Pugh/Johnny Depp","Quentin Tarantino","Directed by Quentin Tarantino, Cars delivers stunning visuals and emotional depth."
"96","Chicken Little","Amy Adams/Danielle Brooks/Tom Holland/Robert Downey Jr./Morgan Freeman","David Fincher","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"97","The Incredibles","Emma Watson/Chris Hemsworth/Anne Hathaway/Aaliyah","Christopher Nolan","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"98","Tangled","Heath Ledger","Tyler Perry","Directed by Tyler Perry, Tangled delivers stunning visuals and emotional depth."
"99","Ratatouille","Danielle Brooks/Brad Pitt/Harrison Ford/Octavia Spencer/Timothée Chalamet","David Fincher","In Ratatouille, Aaliyah stars as the sassy sous-chef, whispering R&B hooks to the whisks while Remy dreams of Grammy gold amid the simmering sauces."
"1","Lilo & Stitch","Chris Hemsworth","Tyler Perry","Thrilling and thought-provoking, Lilo & Stitch explores the blurred lines between reality and illusion through Chris Hemsworth's mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"2","Coco","Kelly Rowland/Fantasia Barrino/Christian Bale","Wes Anderson","In a world where magic collides with modernity, Coco follows Fantasia Barrino as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"3","Despicable Me","Kate Winslet/Ryan Gosling/Emma Watson/Ciara","Greta Gerwig","In a world where magic collides with modernity, Despicable Me follows Emma Watson as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"4","Chicken Little","Halle Berry/Kelly Rowland/Zendaya/Morgan Freeman/Daniel Radcliffe","Zhang Yimou","Celebrating the resilience of the human spirit, Chicken Little transports viewers to a bygone era filled with lavish costumes and sweeping romances. Daniel radcliffe delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"5","Atlantis: The Lost Empire","Christian Bale/Jada Pinkett Smith/Samuel L. Jackson/Chris Evans/Fantasia Barrino","Peter Jackson","A chilling descent into madness awaits in Atlantis: The Lost Empire, where Fantasia Barrino confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"6","Raya and the Last Dragon","Lupita Nyong'o","Christopher Nolan","Set against a backdrop of cosmic wonders, Lupita Nyong'o leads a ragtag crew in Raya and the Last Dragon on a quest to unravel the mysteries of the universe. Pulsing with energy, innovative special effects, and witty banter, this sci-fi spectacle redefines heroism in the stars."
"7","Wreck-It Ralph","Tracee Ellis Ross/Anne Hathaway/Timothée Chalamet","Spike Lee","A chilling descent into madness awaits in Wreck-It Ralph, where Tracee Ellis Ross confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"8","The Rescuers","Scarlett Johansson/Robert Pattinson/Christian Bale/Angela Bassett/Ciara","Mamoru Hosoda","Celebrating the resilience of the human spirit, The Rescuers transports viewers to a bygone era filled with lavish costumes and sweeping romances. Angela bassett delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"9","Encanto","Tracee Ellis Ross/Viola Davis/Brad Pitt/Ciara","Ari Aster","Directed with masterful precision, Encanto captures the raw emotion of betrayal, as Tracee Ellis Ross navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"10","Big Hero 6","Robert Pattinson/Halle Berry/Octavia Spencer/Kate Winslet/Leonardo DiCaprio","Tyler Perry","Heartwarming and hilarious, Big Hero 6 chronicles the unlikely bond between Octavia Spencer and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"11","The Princess and the Frog","Tom Hanks/Angela Bassett","David Fincher","A whimsical adventure unfolds in The Princess and the Frog, where Angela Bassett uncovers a secret society of magical creatures in a vibrant, hand-drawn world bursting with color and imagination. Laughter and tears intermingle in this heartfelt story of friendship and self-discovery, perfect for dreamers of all ages."
"12","Frozen","Harrison Ford/Tom Hanks/Denzel Washington/Fantasia Barrino/Emma Watson","Lars von Trier","A chilling descent into madness awaits in Frozen, where Fantasia Barrino confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"13","Brother Bear","Chris Evans/Kelly Rowland/Regina King/Brandy Norwood/Tracee Ellis Ross","Ryan Coogler","A chilling descent into madness awaits in Brother Bear, where Kelly Rowland confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"14","The Little Mermaid","Taraji P. Henson/Florence Pugh/Tracee Ellis Ross/Johnny Depp/Anne Hathaway","Ridley Scott","Directed with masterful precision, The Little Mermaid captures the raw emotion of redemption, as Taraji P. Henson navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"15","Wish","Octavia Spencer/Robert Downey Jr./Taraji P. Henson/Margot Robbie","Steven Spielberg","From the bustling streets of a forgotten city to the opulent halls of power, Wish delves into the complexities of redemption with unflinching honesty. Robert downey jr.'s tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"16","Oliver & Company","H.E.R./Ryan Gosling/Emma Watson","Ridley Scott","In a world where magic collides with modernity, Oliver & Company follows Emma Watson as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"17","The Emperor's New Groove","Brandy Norwood/Samuel L. Jackson/Daniel Radcliffe/Florence Pugh","Spike Lee","In a world where magic collides with modernity, The Emperor's New Groove follows Brandy Norwood as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"18","Zootopia","Margot Robbie/Robert Pattinson","Park Chan-wook","From the bustling streets of a forgotten city to the opulent halls of power, Zootopia delves into the complexities of friendship with unflinching honesty. Robert pattinson's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"19","The Fox and the Hound","Regina King/Tracee Ellis Ross/Ryan Gosling/Robert Downey Jr.","Mamoru Hosoda","A whimsical adventure unfolds in The Fox and the Hound, where Ryan Gosling uncovers a secret society of magical creatures in a vibrant, hand-drawn world bursting with color and imagination. Laughter and tears intermingle in this heartfelt story of friendship and self-discovery, perfect for dreamers of all ages."
"20","Bolt","Anne Hathaway/Ayo Edebiri","Lars von Trier","Celebrating the resilience of the human spirit, Bolt transports viewers to a bygone era filled with lavish costumes and sweeping romances. Anne hathaway delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"21","Spirited Away","Christian Bale/Viola Davis/Yara Shahidi/Will Smith","Mamoru Hosoda","Celebrating the resilience of the human spirit, Spirited Away transports viewers to a bygone era filled with lavish costumes and sweeping romances. Yara shahidi delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"22","The Green Mile","Aaliyah/H.E.R./Brandy Norwood/Zendaya/Robert Pattinson","Steven Spielberg","A chilling descent into madness awaits in The Green Mile, where H.E.R. confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
