"ID","NAME","ACTORS","DIRECTOR","CONTENT"
"23","Shrek","Lupita Nyong'o/Kate Winslet","Ari Aster","Thrilling and thought-provoking, Shrek explores the blurred lines between reality and illusion through Kate Winslet's mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"24","Sleeping Beauty","Robert Downey Jr./Florence Pugh/Daniel Radcliffe/Ryan Gosling/Brad Pitt","Lars von Trier","From the bustling streets of a forgotten city to the opulent halls of power, Sleeping Beauty delves into the complexities of revenge with unflinching honesty. Robert downey jr.'s tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"25","Sleeping Beauty","Leonardo DiCaprio/Chris Evans/Yara Shahidi/H.E.R.","Ryan Coogler","Celebrating the resilience of the human spirit, Sleeping Beauty transports viewers to a bygone era filled with lavish costumes and sweeping romances. Chris evans delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"26","The Avengers","Fantasia Barrino/Robert Downey Jr./Emma Watson","Hayao Miyazaki","Set against a backdrop of cosmic wonders, Robert Downey Jr. leads a ragtag crew in The Avengers on a quest to unravel the mysteries of the universe. Pulsing with energy, innovative special effects, and witty banter, this sci-fi spectacle redefines heroism in the stars."
"27","Treasure Planet","Robert Pattinson/Regina King/Angela Bassett/Chris Evans","Ridley Scott","Directed with masterful precision, Treasure Planet captures the raw emotion of friendship, as Angela Bassett navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"28","Coco","Danielle Brooks/Denzel Washington/Morgan Freeman/Octavia Spencer","Satoshi Kon","A whimsical adventure unfolds in Coco, where Denzel Washington uncovers a secret society of magical creatures in a vibrant, hand-drawn world bursting with color and imagination. Laughter and tears intermingle in this heartfelt story of friendship and self-discovery, perfect for dreamers of all ages."
"29","Bambi","Kate Winslet/Tracee Ellis Ross/Halle Berry/Ryan Gosling","Lee Daniels","From the bustling streets of a forgotten city to the opulent halls of power, Bambi delves into the complexities of revenge with unflinching honesty. Kate winslet's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"30","Home on the Range","Octavia Spencer/Tom Holland/Ayo Edebiri","Ridley Scott","Set against a backdrop of cosmic wonders, Octavia Spencer leads a ragtag crew in Home on the Range on a quest to unravel the mysteries of the universe. Pulsing with energy, innovative special effects, and witty banter, this sci-fi spectacle redefines heroism in the stars."
"31","Winnie the Pooh","Issa Rae/Anne Hathaway/Toni Braxton/Aaliyah/Johnny Depp","Peter Jackson","A chilling descent into madness awaits in Winnie the Pooh, where Johnny Depp confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"32","Despicable Me","Chris Evans/Kate Winslet/Samuel L. Jackson","Shaft","In this epic tale, Chris Evans embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"33","Meet the Robinsons","Jada Pinkett Smith","Gaspar Noé","In this epic tale, Jada Pinkett Smith embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"34","Chicken Little","Jessica Chastain/Timothée Chalamet/Toni Braxton","Wes Anderson","Directed with masterful precision, Chicken Little captures the raw emotion of love, as Jessica Chastain navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"35","Tangled","Denzel Washington/Margot Robbie/Will Smith/Brandy Norwood/Emma Watson","Taika Waititi","In a world where magic collides with modernity, Tangled follows Emma Watson as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"36","Home on the Range","Florence Pugh/Jessica Chastain","Martin Scorsese","From the bustling streets of a forgotten city to the opulent halls of power, Home on the Range delves into the complexities of love with unflinching honesty. Jessica chastain's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"37","Frozen II","Daniel Radcliffe/Harrison Ford/Denzel Washington/Jada Pinkett Smith","Ava DuVernay","In this epic tale, Denzel Washington embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"38","Robin Hood","Chris Evans/Heath Ledger","David Fincher","Directed with masterful precision, Robin Hood captures the raw emotion of love, as Heath Ledger navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"39","Parasite","Brandy Norwood/Samuel L. Jackson/Issa Rae/Octavia Spencer/H.E.R.","Alfonso Cuarón","Set against a backdrop of cosmic wonders, Brandy Norwood leads a ragtag crew in Parasite on a quest to unravel the mysteries of the universe. Pulsing with energy, innovative special effects, and witty banter, this sci-fi spectacle redefines heroism in the stars."
"40","101 Dalmatians","Halle Berry","Quentin Tarantino","From the bustling streets of a forgotten city to the opulent halls of power, 101 Dalmatians delves into the complexities of identity with unflinching honesty. Halle berry's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"41","Home on the Range","Leonardo DiCaprio/Christian Bale/Jessica Chastain/Samuel L. Jackson","Ryan Coogler","Directed with masterful precision, Home on the Range captures the raw emotion of revenge, as Leonardo DiCaprio navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"42","Moana","Ryan Gosling/Issa Rae","Gaspar Noé","A whimsical adventure unfolds in Moana, where Issa Rae uncovers a secret society of magical creatures in a vibrant, hand-drawn world bursting with color and imagination. Laughter and tears intermingle in this heartfelt story of friendship and self-discovery, perfect for dreamers of all ages."
"43","Ice Age","Morgan Freeman","Greta Gerwig","In a world where magic collides with modernity, Ice Age follows Morgan Freeman as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"44","Tangled","Colman Domingo/H.E.R.","Lee Daniels","Heartwarming and hilarious, Tangled chronicles the unlikely bond between H.E.R. and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"45","Strange World","Chris Evans/Chris Hemsworth/Angela Bassett","Tyler Perry","In a world where magic collides with modernity, Strange World follows Angela Bassett as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"46","How to Train Your Dragon","Regina King/Denzel Washington/Kate Winslet/Issa Rae","Ari Aster","In this epic tale, Denzel Washington embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"47","Big Hero 6","Amy Adams/Taraji P. Henson/Colman Domingo","Tyler Perry","A whimsical adventure unfolds in Big Hero 6, where Colman Domingo uncovers a secret society of magical creatures in a vibrant, hand-drawn world bursting with color and imagination. Laughter and tears intermingle in this heartfelt story of friendship and self-discovery, perfect for dreamers of all ages."
"48","Treasure Planet","Lupita Nyong'o/Will Smith","Lars von Trier","From the bustling streets of a forgotten city to the opulent halls of power, Treasure Planet delves into the complexities of betrayal with unflinching honesty. Lupita nyong'o's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"49","101 Dalmatians","Halle Berry/Margot Robbie/Christian Bale/H.E.R./Fantasia Barrino","Wes Anderson","Celebrating the resilience of the human spirit, 101 Dalmatians transports viewers to a bygone era filled with lavish costumes and sweeping romances. Halle berry delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"50","Coco","Chris Evans/Johnny Depp/Lupita Nyong'o/Issa Rae","Gaspar Noé","Heartwarming and hilarious, Coco chronicles the unlikely bond between Chris Evans and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"51","Winnie the Pooh","Octavia Spencer","Isao Takahata","From the bustling streets of a forgotten city to the opulent halls of power, Winnie the Pooh delves into the complexities of love with unflinching honesty. Octavia spencer's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"52","Brother Bear","H.E.R.","Ari Aster","In a world where magic collides with modernity, Brother Bear follows H.E.R. as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"53","Inception","Scarlett Johansson/Denzel Washington/Robert Pattinson/Regina King","Lee Daniels","Directed with masterful precision, Inception captures the raw emotion of identity, as Denzel Washington navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"54","Toy Story","Halle Berry/Danielle Brooks/H.E.R./Robert Pattinson/Timothée Chalamet","Christopher Nolan","In this epic tale, H.E.R. embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"55","Big Hero 6","Heath Ledger/Danielle Brooks/Ryan Gosling/Tom Holland/Tom Hanks","Spike Lee","Heartwarming and hilarious, Big Hero 6 chronicles the unlikely bond between Tom Hanks and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"56","Kung Fu Panda","Chris Evans/Tom Holland/Amy Adams/Timothée Chalamet/Johnny Depp","Quentin Tarantino","Celebrating the resilience of the human spirit, Kung Fu Panda transports viewers to a bygone era filled with lavish costumes and sweeping romances. Tom holland delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"57","Bambi","Yara Shahidi/Kate Winslet","Park Chan-wook","A chilling descent into madness awaits in Bambi, where Kate Winslet confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"58","The Little Mermaid II","Samuel L. Jackson/Robert Pattinson/Octavia Spencer","Isao Takahata","From the bustling streets of a forgotten city to the opulent halls of power, The Little Mermaid II delves into the complexities of identity with unflinching honesty. Samuel l. jackson's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"59","Aladdin and the King of Thieves","Aaliyah/Johnny Depp/Jada Pinkett Smith/Robert Downey Jr.","John Singleton","Celebrating the resilience of the human spirit, Aladdin and the King of Thieves transports viewers to a bygone era filled with lavish costumes and sweeping romances. Robert downey jr. delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"60","Madagascar","Robert Downey Jr.","Kim Ki-duk","Thrilling and thought-provoking, Madagascar explores the blurred lines between reality and illusion through Robert Downey Jr.'s mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"61","Home on the Range","Johnny Depp/Jessica Chastain/Colman Domingo/Yara Shahidi/Harrison Ford","Kim Ki-duk","Set against a backdrop of cosmic wonders, Harrison Ford leads a ragtag crew in Home on the Range on a quest to unravel the mysteries of the universe. Pulsing with energy, innovative special effects, and witty banter, this sci-fi spectacle redefines heroism in the stars."
"62","Dumbo","Robert Downey Jr.","Tyler Perry","A whimsical adventure unfolds in Dumbo, where Robert Downey Jr. uncovers a secret society of magical creatures in a vibrant, hand-drawn world bursting with color and imagination. Laughter and tears intermingle in this heartfelt story of friendship and self-discovery, perfect for dreamers of all ages."
"63","Monsters Inc.","Brad Pitt/Ayo Edebiri/Aaliyah","Tyler Perry","A chilling descent into madness awaits in Monsters Inc., where Ayo Edebiri confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"64","Big Hero 6","Angela Bassett/Timothée Chalamet/Jessica Chastain/H.E.R./Florence Pugh","Ryan Murphy","Thrilling and thought-provoking, Big Hero 6 explores the blurred lines between reality and illusion through Timothée Chalamet's mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"65","Cars","Meryl Streep/Timothée Chalamet/Yara Shahidi/Brad Pitt","Shonda Rhimes","In this epic tale, Meryl Streep embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"66","The Little Mermaid II","Ryan Gosling","Ryan Coogler","Directed with masterful precision, The Little Mermaid II captures the raw emotion of courage, as Ryan Gosling navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"67","The Lord of the Rings","Leonardo DiCaprio/Anne Hathaway","Gaspar Noé","From the bustling streets of a forgotten city to the opulent halls of power, The Lord of the Rings delves into the complexities of revenge with unflinching honesty. Anne hathaway's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"68","Parasite","Lupita Nyong'o/Brandy Norwood/Jessica Chastain/Issa Rae/Amy Adams","Guillermo del Toro","Heartwarming and hilarious, Parasite chronicles the unlikely bond between Jessica Chastain and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"69","The Lord of the Rings","Jada Pinkett Smith","Wes Anderson","Set against a backdrop of cosmic wonders, Jada Pinkett Smith leads a ragtag crew in The Lord of the Rings on a quest to unravel the mysteries of the universe. Pulsing with energy, innovative special effects, and witty banter, this sci-fi spectacle redefines heroism in the stars."
"70","Wreck-It Ralph","Angela Bassett/Harrison Ford/Meryl Streep/Brandy Norwood/Viola Davis","Greta Gerwig","A chilling descent into madness awaits in Wreck-It Ralph, where Meryl Streep confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"71","The Emperor's New Groove","Tom Hanks/Lupita Nyong'o/Colman Domingo","Ari Aster","Heartwarming and hilarious, The Emperor's New Groove chronicles the unlikely bond between Colman Domingo and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"72","Kung Fu Panda","Robert Downey Jr./Tom Hanks","Tyler Perry","Thrilling and thought-provoking, Kung Fu Panda explores the blurred lines between reality and illusion through Robert Downey Jr.'s mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"73","Winnie the Pooh","Angela Bassett/Scarlett Johansson/Leonardo DiCaprio/Regina King","Steven Spielberg","Heartwarming and hilarious, Winnie the Pooh chronicles the unlikely bond between Leonardo DiCaprio and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"74","Lilo & Stitch","Taraji P. Henson/Tom Hanks/Robert Pattinson/Regina King","Ava DuVernay","From the bustling streets of a forgotten city to the opulent halls of power, Lilo & Stitch delves into the complexities of revenge with unflinching honesty. Tom hanks's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"75","Tarzan","Harrison Ford/Taraji P. Henson/Heath Ledger/Kelly Rowland","Hayao Miyazaki","Directed with masterful precision, Tarzan captures the raw emotion of discovery, as Heath Ledger navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"76","The Little Mermaid II","Chris Evans/Meryl Streep/Halle Berry/Kate Winslet","Mamoru Hosoda","A chilling descent into madness awaits in The Little Mermaid II, where Meryl Streep confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"77","Treasure Planet","Anne Hathaway/Samuel L. Jackson/Johnny Depp/Issa Rae","John Singleton","In a world where magic collides with modernity, Treasure Planet follows Anne Hathaway as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"78","The Princess and the Frog","Issa Rae/Samuel L. Jackson","Gaspar Noé","Heartwarming and hilarious, The Princess and the Frog chronicles the unlikely bond between Samuel L. Jackson and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"79","101 Dalmatians","Danielle Brooks","Ridley Scott","Directed with masterful precision, 101 Dalmatians captures the raw emotion of redemption, as Danielle Brooks navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"80","Atlantis: The Lost Empire","Amy Adams","John Singleton","In this epic tale, Amy Adams embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"81","Frozen II","Christian Bale/Viola Davis/Fantasia Barrino/Ciara/Emma Watson","Quentin Tarantino","Directed with masterful precision, Frozen II captures the raw emotion of identity, as Fantasia Barrino navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"82","Zootopia","Angela Bassett/Anne Hathaway/Yara Shahidi","Park Chan-wook","Thrilling and thought-provoking, Zootopia explores the blurred lines between reality and illusion through Angela Bassett's mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"83","Winnie the Pooh","Emma Watson","Ava DuVernay","In a world where magic collides with modernity, Winnie the Pooh follows Emma Watson as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"84","The Lego Movie","Scarlett Johansson/Kate Winslet/Lupita Nyong'o/Chris Evans/H.E.R.","Francis Ford Coppola","Directed with masterful precision, The Lego Movie captures the raw emotion of revenge, as Lupita Nyong'o navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"85","Bambi","Ryan Gosling/Anne Hathaway/Taraji P. Henson/Amy Adams","David Fincher","Thrilling and thought-provoking, Bambi explores the blurred lines between reality and illusion through Ryan Gosling's mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"86","Strange World","Zendaya/Ayo Edebiri/Robert Downey Jr.","Ava DuVernay","In this epic tale, Robert Downey Jr. embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats. As alliances fracture and ancient prophecies unfold, Robert Downey Jr.'s charismatic hero grapples with moral dilemmas that echo through the ages, culminating in a climactic showdown where the fate of realms hangs by a thread. This cinematic odyssey not only dazzles with its orchestral swells and mythical lore but also probes the depths of human (or elven) resolve, reminding us that true power lies not in swords or spells, but in the unyielding spark of the heart."
